rating_id,value,number_of_votes,update_date,metascore,movie_id
1001,9.3,2343110,2021-02-01,80,1
1002,9.2,1620367,2021-02-01,100,2
1003,9.0,2303232,2021-02-01,84,3
1004,9.0,1129952,2021-02-01,90,4
1005,9.0,689845,2021-02-01,96,5
1006,8.9,1642758,2021-02-01,94,6
1007,8.9,1826188,2021-02-01,94,7
1008,8.9,1213505,2021-02-01,94,8
1009,8.8,2067042,2021-02-01,74,9
1010,8.8,1854740,2021-02-01,66,10
1011,8.8,1661481,2021-02-01,92,11
1012,8.8,1809221,2021-02-01,82,12
1013,8.8,688390,2021-02-01,90,13
1014,8.7,1485555,2021-02-01,87,14
1015,8.7,1676426,2021-02-01,73,15
1016,8.7,1020727,2021-02-01,90,16
1017,8.7,1159315,2021-02-01,82,17
1018,8.7,918088,2021-02-01,83,18
1019,8.6,55291,2021-02-01,90,19
1020,8.6,552778,2021-02-01,96,20
